dataHoraCotacao,valor_cotacao,timestamp_processamento
2017-09-05,3.1197,2026-04-11T15:11:55.728Z
2017-09-06,3.1127,2026-04-11T15:11:55.728Z
2017-09-07,3.1127,2026-04-11T15:11:55.728Z
2017-09-08,3.0902,2026-04-11T15:11:55.728Z
2017-09-09,3.0902,2026-04-11T15:11:55.728Z
2017-09-10,3.0902,2026-04-11T15:11:55.728Z
2017-09-11,3.0846,2026-04-11T15:11:55.728Z
2017-09-12,3.1138,2026-04-11T15:11:55.728Z
2017-09-13,3.1337,2026-04-11T15:11:55.728Z
2017-09-14,3.1348,2026-04-11T15:11:55.728Z
2017-09-15,3.1249,2026-04-11T15:11:55.728Z
2017-09-16,3.1249,2026-04-11T15:11:55.728Z
2017-09-17,3.1249,2026-04-11T15:11:55.728Z
2017-09-18,3.1233,2026-04-11T15:11:55.728Z
2017-09-19,3.1317,2026-04-11T15:11:55.728Z
2017-09-20,3.1275,2026-04-11T15:11:55.728Z
2017-09-21,3.1341,2026-04-11T15:11:55.728Z
2017-09-22,3.1279,2026-04-11T15:11:55.728Z
2017-09-23,3.1279,2026-04-11T15:11:55.728Z
2017-09-24,3.1279,2026-04-11T15:11:55.728Z
2017-09-25,3.1406,2026-04-11T15:11:55.728Z
2017-09-26,3.1668,2026-04-11T15:11:55.728Z
2017-09-27,3.1926,2026-04-11T15:11:55.728Z
2017-09-28,3.1865,2026-04-11T15:11:55.728Z
2017-09-29,3.1674,2026-04-11T15:11:55.728Z
2017-09-30,3.1674,2026-04-11T15:11:55.728Z
2017-10-01,3.1674,2026-04-11T15:11:55.728Z
2017-10-02,3.1636,2026-04-11T15:11:55.728Z
2017-10-03,3.1496,2026-04-11T15:11:55.728Z
2017-10-04,3.1309,2026-04-11T15:11:55.728Z
2017-10-05,3.1341,2026-04-11T15:11:55.728Z
2017-10-06,3.1642,2026-04-11T15:11:55.728Z
2017-10-07,3.1642,2026-04-11T15:11:55.728Z
2017-10-08,3.1642,2026-04-11T15:11:55.728Z
2017-10-09,3.1764,2026-04-11T15:11:55.728Z
2017-10-10,3.1682,2026-04-11T15:11:55.728Z
2017-10-11,3.1633,2026-04-11T15:11:55.728Z
2017-10-12,3.1633,2026-04-11T15:11:55.728Z
2017-10-13,3.1567,2026-04-11T15:11:55.728Z
2017-10-14,3.1567,2026-04-11T15:11:55.728Z
2017-10-15,3.1567,2026-04-11T15:11:55.728Z
2017-10-16,3.1601,2026-04-11T15:11:55.728Z
2017-10-17,3.1763,2026-04-11T15:11:55.728Z
2017-10-18,3.1667,2026-04-11T15:11:55.728Z
2017-10-19,3.1727,2026-04-11T15:11:55.728Z
2017-10-20,3.1827,2026-04-11T15:11:55.728Z
2017-10-21,3.1827,2026-04-11T15:11:55.728Z
2017-10-22,3.1827,2026-04-11T15:11:55.728Z
2017-10-23,3.1997,2026-04-11T15:11:55.728Z
2017-10-24,3.2464,2026-04-11T15:11:55.728Z
2017-10-25,3.2381,2026-04-11T15:11:55.728Z
2017-10-26,3.2438,2026-04-11T15:11:55.728Z
2017-10-27,3.2795,2026-04-11T15:11:55.728Z
2017-10-28,3.2795,2026-04-11T15:11:55.728Z
2017-10-29,3.2795,2026-04-11T15:11:55.728Z
2017-10-30,3.2541,2026-04-11T15:11:55.728Z
2017-10-31,3.2763,2026-04-11T15:11:55.728Z
2017-11-01,3.273,2026-04-11T15:11:55.728Z
2017-11-02,3.273,2026-04-11T15:11:55.728Z
2017-11-03,3.2914,2026-04-11T15:11:55.728Z
2017-11-04,3.2914,2026-04-11T15:11:55.728Z
2017-11-05,3.2914,2026-04-11T15:11:55.728Z
2017-11-06,3.2845,2026-04-11T15:11:55.728Z
2017-11-07,3.2727,2026-04-11T15:11:55.728Z
2017-11-08,3.2503,2026-04-11T15:11:55.728Z
2017-11-09,3.2509,2026-04-11T15:11:55.728Z
2017-11-10,3.2655,2026-04-11T15:11:55.728Z
2017-11-11,3.2655,2026-04-11T15:11:55.728Z
2017-11-12,3.2655,2026-04-11T15:11:55.728Z
2017-11-13,3.2867,2026-04-11T15:11:55.728Z
2017-11-14,3.2828,2026-04-11T15:11:55.728Z
2017-11-15,3.2828,2026-04-11T15:11:55.728Z
